"river","date","section","radioID","tempID","length_mm","weight_g","geneticSam","sex"
"DRY UPPER","2024-07-18","R10","29.1","325","145","44","Y",NA
"DRY UPPER","2024-07-18","R12","46.1","317","152","40.5","Y",NA
"DRY UPPER","2024-07-18","R9","30.1","319","152","41.2","Y",NA
"DRY UPPER","2024-07-18","R12","39.1","304","188","90","Y",NA
"BUFFAM","2024-06-10","B3","11","UNK","195","68.6","Y","M"
"DICKEY","2024-06-04","R4","26","299","148","43.9","Y","F"
"HARRIS","2024-06-10","H4","15","327","149","42.4","Y","M"
"AMETHYST","2024-06-10","A1","14","0","136","27.4","Y","F"
"DICKEY","2024-06-04","R4","28","306","150","41.2","Y","M"
"BUFFAM","2024-06-10","B1","19","329","151","39.1","Y","F"
"HARRIS","2024-06-10","H3","12","330","153","44.2","Y","F"
"BUFFAM","2024-06-10","B2","18","0","135","29.1","Y","F"
"UNDERHILL","2024-06-04","R7","27","303","154","42.8","Y","F"
"HARRIS","2024-06-10","H2","20","0","123","23.3","Y","M"
"DRY UPPER","2024-06-05","R4","21","0","167","52.7","Y","F"
"UNDERHILL","2024-06-04","R6","34","296","157","45.8","Y","M"
"UNDERHILL","2024-06-04","R5","33","305","159","46.5","Y","M"
"UNDERHILL","2024-06-07","R7","44","311","165","46","Y",NA
"DRY UPPER","2024-06-05","R4","25","0","190","86.9","Y","M"
"HARRIS","2024-06-10","H5","13","326","166","47.7","Y","F"
"UNDERHILL","2024-06-04","R3","40","312","169","55.4","Y","M"
"DRY UPPER","2024-06-05","R5","23","322","170","59.5","Y","F"
"DRY UPPER","2024-06-05","R2","16","323","170","64.6","Y","F"
"DRY UPPER","2024-06-05","R4","17","318","172","62.9","Y","F"
"DICKEY","2024-06-04","2","31","302","173","63.1","Y","M"
"UNDERHILL","2024-06-04","R7","36","301","176","63.3","Y","M"
"DICKEY","2024-06-04","R3","32","298","177","73.9","Y","M"
"AMETHYST","2024-06-10","A4","60","338","178","65.5","Y","M"
"DICKEY","2024-06-04","5","38","315","178","69","Y","F"
"DRY UPPER","2024-06-05","R4","22","320","179","76.8","Y","M"
"UNDERHILL","2024-06-04","R7","45","310","180","64","Y","M"
"DRY UPPER","2024-06-05","R3","24","319","180","69.8","Y","F"
"AMETHYST","2024-06-10","A4","59","335","182","65.3","Y","F"
"DRY UPPER","2024-06-05","R1","42","325","183","82.7","Y","M"
"DRY UPPER","2024-06-05","R5","54","328","184","81.8","Y","M"
"DICKEY","2024-06-04","3","37","308","185","81","Y","M"
"HARRIS","2024-06-10","HABOVE","57","337","189","75.9","Y","M"
"UNDERHILL","2024-06-04","R2","43","309","189","76","Y","F"
"UNDERHILL","2024-06-04","8","41","314","195","96.2","Y","M"
"DRY UPPER","2024-06-05","R3","48","0","177","62.1","Y","F"
"DRY UPPER","2024-06-05","R3","47","327","196","93.5","Y","M"
"DICKEY","2024-06-04","R3","51","313","196","93.6","Y","M"
"UNDERHILL","2024-06-04","R6","35","295","197","81.2","Y","F"
"DRY UPPER","2024-06-05","R2","52","326","201","106.4","Y","F"
"DRY UPPER","2024-06-05","R5","53","0","182","67.4","Y","M"
"DICKEY","2024-06-04","5","46","317","206","98.6","Y","M"
"DRY UPPER","2024-06-05","R1","55","0","237","166.8","Y","F"
"AMETHYST","2024-06-10","A1","56","0","145","36.3","Y","F"
"AMETHYST","2024-06-10","A1","61","336","210","106.5","Y","M"
"BUFFAM","2024-06-10","B2","58","0","150","36.7","Y","F"
"DICKEY","2024-06-04","R2","29","304","212","107.3","Y","M"
"DRY UPPER","2024-06-05","R1","49","324","219","115.8","Y","M"
"DICKEY","2024-06-04","2","50","307","220","145.5","Y","M"
"BUFFAM","2024-06-10","B3","62","334","223","114.8","Y","M"
