"river","totalDischarge","meanTemp","flowTime","shift"
"BUFFAM",1.69,19.57,"2024-07-17 04:35:30","day"
"BUFFAM",1.12,20.89,"2024-07-17 14:14:36","night"
"DICKEY",1.17,22.43,"2024-07-16 05:02:37","day"
"DICKEY",-1.58,25,"2024-07-16 14:29:54","night"
"DRY UPPER",1.68,18.94,"2024-07-18 04:41:46","day"
"DRY UPPER",0.6,20.18,"2024-07-18 14:02:49","night"
"HARRIS",3.3,23.11,"2024-07-17 05:56:10","day"
"HARRIS",0.09,24.84,"2024-07-17 15:11:56","night"
"UNDERHILL",1.25,18.35,"2024-07-19 04:05:45","day"
"UNDERHILL",0.92,19.95,"2024-07-19 14:29:15","night"
"UNDERHILL",0.87,19.97,"2024-07-19 15:03:26","night"
"UNDERHILL",0.83,20.06,"2024-07-19 15:46:02","night"
"AMETHYST",4.99,21.34,NA,"day"
"AMETHYST",1.21,22.865,NA,"night"
