"river","totalDischarge","flowTime_EST","shift"
"BUFFAM",0.54,"2024-07-31 04:44:54","day"
"BUFFAM",0.02,"2024-07-31 13:43:07","night"
"DICKEY",1.13,"2024-07-30 04:50:14","day"
"DICKEY",0.99,"2024-07-30 13:49:04","night"
"DRY UPPER",0.14,"2024-08-02 04:30:04","day"
"DRY UPPER",0.09,"2024-08-02 16:15:02","night"
"HARRIS",2.06,"2024-07-31 06:48:07","day"
"HARRIS",0.06,"2024-07-31 14:37:29","night"
"UNDERHILL",1.65,"2024-08-01 04:38:01","day"
"UNDERHILL",0.97,"2024-08-01 15:02:42","night"
"AMETHYST",2.6,NA,"day"
"AMETHYST",0.08,NA,"night"
